Date,Open,High,Low,Close,Adj. close,Volume
5-Aug-24,5151.14,5250.89,5119.26,5186.33,5186.33,5333250000
2-Aug-24,5376.63,5383.89,5302.03,5346.56,5346.56,5156450000
1-Aug-24,5537.84,5566.16,5410.42,5446.68,5446.68,4703620000
31-Jul-24,5505.59,5551.51,5493.75,5522.3,5522.3,4546910000
30-Jul-24,5478.73,5489.46,5401.7,5436.44,5436.44,3777740000
29-Jul-24,5476.55,5487.74,5444.44,5463.54,5463.54,3379970000
26-Jul-24,5433.67,5488.32,5430.7,5459.1,5459.1,3638770000
25-Jul-24,5428.7,5491.59,5390.95,5399.22,5399.22,4592120000
24-Jul-24,5505.84,5508.04,5419.98,5427.13,5427.13,3945550000
23-Jul-24,5565.3,5585.34,5550.9,5555.74,5555.74,3500210000
22-Jul-24,5544.54,5570.36,5529.04,5564.41,5564.41,3375180000
19-Jul-24,5543.37,5557.5,5497.04,5505,5505,3760570000
18-Jul-24,5608.56,5614.05,5522.81,5544.59,5544.59,4007510000
17-Jul-24,5610.07,5622.49,5584.81,5588.27,5588.27,4246450000
16-Jul-24,5644.09,5669.67,5639.02,5667.2,5667.2,4041760000
15-Jul-24,5638.16,5666.94,5614.75,5631.22,5631.22,3620470000
12-Jul-24,5590.76,5655.56,5590.44,5615.35,5615.35,3700280000
11-Jul-24,5635.21,5642.45,5576.53,5584.54,5584.54,4020950000
10-Jul-24,5591.26,5635.39,5586.44,5633.91,5633.91,3336100000
9-Jul-24,5584.24,5590.75,5574.57,5576.98,5576.98,3232920000
8-Jul-24,5572.75,5583.11,5562.51,5572.85,5572.85,3185670000
5-Jul-24,5537.91,5570.33,5531.63,5567.19,5567.19,3253080000
3-Jul-24,5507.44,5539.27,5507.42,5537.02,5537.02,2179470000
2-Jul-24,5461.84,5509.69,5458.43,5509.01,5509.01,3329950000
1-Jul-24,5471.08,5479.55,5446.53,5475.09,5475.09,3488760000
28-Jun-24,5488.48,5523.64,5451.12,5460.48,5460.48,7199220000
27-Jun-24,5473.59,5490.81,5467.54,5482.87,5482.87,3589530000
26-Jun-24,5460.71,5483.14,5451.87,5477.9,5477.9,3563920000
25-Jun-24,5460.73,5472.88,5446.56,5469.3,5469.3,3591960000
24-Jun-24,5459.58,5490.66,5447.59,5447.87,5447.87,3696750000
21-Jun-24,5466.77,5478.31,5452.03,5464.62,5464.62,6773800000
20-Jun-24,5499.99,5505.53,5455.56,5473.17,5473.17,3847060000
18-Jun-24,5476.15,5490.38,5471.32,5487.03,5487.03,3544330000
17-Jun-24,5431.11,5488.5,5420.4,5473.23,5473.23,3447840000
14-Jun-24,5424.08,5432.39,5403.75,5431.6,5431.6,3438650000
13-Jun-24,5441.93,5441.93,5402.51,5433.74,5433.74,3530380000
12-Jun-24,5409.13,5447.25,5409.13,5421.03,5421.03,3962840000
11-Jun-24,5353,5375.95,5327.25,5375.32,5375.32,3568030000
10-Jun-24,5341.22,5365.79,5331.52,5360.79,5360.79,3622280000
7-Jun-24,5343.81,5375.08,5331.33,5346.99,5346.99,3692760000
6-Jun-24,5357.8,5362.35,5335.36,5352.96,5352.96,3609990000
5-Jun-24,5314.48,5354.16,5297.64,5354.03,5354.03,3591460000
4-Jun-24,5278.24,5298.8,5257.63,5291.34,5291.34,3707900000
3-Jun-24,5297.15,5302.11,5234.32,5283.4,5283.4,4046920000
31-May-24,5243.21,5280.33,5191.68,5277.51,5277.51,5437160000
30-May-24,5259.77,5260.21,5222.1,5235.48,5235.48,3818750000
29-May-24,5278.73,5282.27,5262.7,5266.95,5266.95,3552750000
28-May-24,5315.91,5315.91,5280.89,5306.04,5306.04,3751540000
24-May-24,5281.45,5311.65,5278.39,5304.72,5304.72,3005510000
23-May-24,5340.26,5341.88,5256.93,5267.84,5267.84,3869520000
22-May-24,5319.28,5323.18,5286.01,5307.01,5307.01,3847130000
21-May-24,5298.69,5324.32,5297.87,5321.41,5321.41,3662240000
20-May-24,5305.35,5325.32,5302.4,5308.13,5308.13,3420100000
17-May-24,5303.1,5305.45,5283.59,5303.27,5303.27,3578120000
16-May-24,5310.07,5325.49,5296.19,5297.1,5297.1,3817470000
15-May-24,5263.26,5311.76,5263.26,5308.15,5308.15,4360810000
14-May-24,5221.1,5250.37,5217.98,5246.68,5246.68,4763580000
13-May-24,5233.08,5237.26,5211.16,5221.42,5221.42,4255710000
10-May-24,5225.49,5239.66,5209.68,5222.68,5222.68,3617900000
9-May-24,5189.03,5215.3,5180.41,5214.08,5214.08,3727370000
8-May-24,5168.98,5191.95,5165.86,5187.67,5187.67,3842100000
7-May-24,5187.2,5200.23,5178.96,5187.7,5187.7,3987890000
6-May-24,5142.42,5181,5142.42,5180.74,5180.74,3683250000
3-May-24,5122.78,5139.12,5101.22,5127.79,5127.79,3924990000
2-May-24,5049.32,5073.21,5011.05,5064.2,5064.2,4381660000
1-May-24,5029.03,5096.12,5013.45,5018.39,5018.39,4544170000
30-Apr-24,5103.78,5110.83,5035.31,5035.69,5035.69,4082470000
29-Apr-24,5114.13,5123.49,5088.65,5116.17,5116.17,3447450000
26-Apr-24,5084.65,5114.62,5073.14,5099.96,5099.96,3604140000
25-Apr-24,5019.88,5057.75,4990.58,5048.42,5048.42,3958050000
24-Apr-24,5084.86,5089.48,5047.02,5071.63,5071.63,3656740000
23-Apr-24,5028.85,5076.12,5027.96,5070.55,5070.55,3751400000
22-Apr-24,4987.33,5038.84,4969.4,5010.6,5010.6,3820250000
19-Apr-24,5005.44,5019.02,4953.56,4967.23,4967.23,3878750000
18-Apr-24,5031.52,5056.66,5001.89,5011.12,5011.12,3619760000
17-Apr-24,5068.97,5077.96,5007.25,5022.21,5022.21,3596130000
16-Apr-24,5064.59,5079.84,5039.83,5051.41,5051.41,4006200000
15-Apr-24,5149.67,5168.43,5052.47,5061.82,5061.82,3950210000
12-Apr-24,5171.51,5175.03,5107.94,5123.41,5123.41,3963220000
11-Apr-24,5172.95,5211.78,5138.77,5199.06,5199.06,3509380000
10-Apr-24,5167.88,5178.43,5138.7,5160.64,5160.64,3845930000
9-Apr-24,5217.03,5224.81,5160.78,5209.91,5209.91,3400680000
8-Apr-24,5211.37,5219.57,5197.35,5202.39,5202.39,3278180000
5-Apr-24,5158.95,5222.18,5157.21,5204.34,5204.34,3386780000
4-Apr-24,5244.05,5256.59,5146.06,5147.21,5147.21,4075680000
3-Apr-24,5194.37,5228.75,5194.37,5211.49,5211.49,3703250000
2-Apr-24,5204.29,5208.34,5184.05,5205.81,5205.81,3886590000
1-Apr-24,5257.97,5263.95,5229.2,5243.77,5243.77,3325930000
28-Mar-24,5248.03,5264.85,5245.82,5254.35,5254.35,3998270000
27-Mar-24,5226.31,5249.26,5213.92,5248.49,5248.49,3850500000
26-Mar-24,5228.85,5235.16,5203.42,5203.58,5203.58,3871790000
25-Mar-24,5219.52,5229.09,5216.09,5218.19,5218.19,3331360000
22-Mar-24,5242.48,5246.09,5229.87,5234.18,5234.18,3374700000
21-Mar-24,5253.43,5261.1,5240.66,5241.53,5241.53,4207730000
20-Mar-24,5181.69,5226.19,5171.55,5224.62,5224.62,4064850000
19-Mar-24,5139.09,5180.31,5131.59,5178.51,5178.51,4031760000
18-Mar-24,5154.77,5175.6,5145.47,5149.42,5149.42,4036220000
15-Mar-24,5123.31,5136.86,5104.35,5117.09,5117.09,7753670000
14-Mar-24,5175.14,5176.85,5123.3,5150.48,5150.48,4687970000
13-Mar-24,5173.49,5179.14,5151.88,5165.31,5165.31,4282890000
12-Mar-24,5134.3,5179.87,5114.48,5175.27,5175.27,4080510000
11-Mar-24,5111.96,5124.66,5091.14,5117.94,5117.94,3896430000
8-Mar-24,5164.46,5189.26,5117.5,5123.69,5123.69,4208870000
7-Mar-24,5132.38,5165.62,5128.21,5157.36,5157.36,4137980000
6-Mar-24,5108.03,5127.97,5092.22,5104.76,5104.76,4559050000
5-Mar-24,5110.52,5114.54,5056.82,5078.65,5078.65,4418410000
4-Mar-24,5130.99,5149.67,5127.18,5130.95,5130.95,4758440000
1-Mar-24,5098.51,5140.33,5094.16,5137.08,5137.08,4748110000
29-Feb-24,5085.36,5104.99,5061.89,5096.27,5096.27,5219740000
28-Feb-24,5067.2,5077.37,5058.35,5069.76,5069.76,3789370000
27-Feb-24,5074.6,5080.69,5057.29,5078.18,5078.18,3925950000
26-Feb-24,5093,5097.66,5068.91,5069.53,5069.53,3683930000
23-Feb-24,5100.92,5111.06,5081.46,5088.8,5088.8,3672790000
22-Feb-24,5038.83,5094.39,5038.83,5087.03,5087.03,4051710000
21-Feb-24,4963.03,4983.21,4946,4981.8,4981.8,3788390000
20-Feb-24,4989.32,4993.71,4955.02,4975.51,4975.51,4034880000
16-Feb-24,5031.13,5038.7,4999.52,5005.57,5005.57,3833270000
15-Feb-24,5003.14,5032.72,4999.44,5029.73,5029.73,4137970000
14-Feb-24,4976.44,5002.52,4956.45,5000.62,5000.62,3845600000
13-Feb-24,4967.94,4971.3,4920.31,4953.17,4953.17,4302190000
12-Feb-24,5026.83,5048.39,5016.83,5021.84,5021.84,3805740000
9-Feb-24,5004.17,5030.06,5000.34,5026.61,5026.61,3912990000
8-Feb-24,4995.16,5000.4,4987.09,4997.91,4997.91,4341860000
7-Feb-24,4973.05,4999.89,4969.05,4995.06,4995.06,4895590000
6-Feb-24,4950.16,4957.77,4934.88,4954.23,4954.23,4440880000
5-Feb-24,4957.19,4957.19,4918.09,4942.81,4942.81,4023640000
2-Feb-24,4916.06,4975.29,4907.99,4958.61,4958.61,3974350000
1-Feb-24,4861.11,4906.97,4853.52,4906.19,4906.19,4386090000
31-Jan-24,4899.19,4906.75,4845.15,4845.65,4845.65,4696120000
30-Jan-24,4925.89,4931.09,4916.27,4924.97,4924.97,3836130000
29-Jan-24,4892.95,4929.31,4887.4,4927.93,4927.93,3525160000
26-Jan-24,4888.91,4906.69,4881.47,4890.97,4890.97,3353400000
25-Jan-24,4886.66,4898.15,4869.34,4894.16,4894.16,4020430000
24-Jan-24,4888.56,4903.68,4865.94,4868.55,4868.55,4330030000
23-Jan-24,4856.8,4866.48,4844.37,4864.6,4864.6,3912800000
22-Jan-24,4853.42,4868.41,4844.05,4850.43,4850.43,4297610000
19-Jan-24,4796.28,4842.07,4785.87,4839.81,4839.81,4287200000
18-Jan-24,4760.1,4785.79,4740.57,4780.94,4780.94,4019000000
17-Jan-24,4739.13,4744.23,4714.82,4739.21,4739.21,3928600000
16-Jan-24,4772.35,4782.34,4747.12,4765.98,4765.98,4260550000
12-Jan-24,4791.18,4802.4,4768.98,4783.83,4783.83,3486340000
11-Jan-24,4792.13,4798.5,4739.58,4780.24,4780.24,3759890000
10-Jan-24,4759.94,4790.8,4756.2,4783.45,4783.45,3498680000
9-Jan-24,4741.93,4765.47,4730.35,4756.5,4756.5,3529960000
8-Jan-24,4703.7,4764.54,4699.82,4763.54,4763.54,3742320000
5-Jan-24,4690.57,4721.49,4682.11,4697.24,4697.24,3844370000
4-Jan-24,4697.42,4726.78,4687.53,4688.68,4688.68,3715480000
3-Jan-24,4725.07,4729.29,4699.71,4704.81,4704.81,3950760000
2-Jan-24,4745.2,4754.33,4722.67,4742.83,4742.83,3743050000
29-Dec-23,4782.88,4788.43,4751.99,4769.83,4769.83,3126060000
28-Dec-23,4786.44,4793.3,4780.98,4783.35,4783.35,2698860000
27-Dec-23,4773.45,4785.39,4768.9,4781.58,4781.58,2748450000
26-Dec-23,4758.86,4784.72,4758.45,4774.75,4774.75,2513910000
22-Dec-23,4753.92,4772.94,4736.77,4754.63,4754.63,3046770000
21-Dec-23,4724.29,4748.71,4708.35,4746.75,4746.75,3431180000
20-Dec-23,4764.73,4778.01,4697.82,4698.35,4698.35,4201320000
19-Dec-23,4743.72,4768.69,4743.72,4768.37,4768.37,4026970000
18-Dec-23,4725.58,4749.52,4725.58,4740.56,4740.56,4060340000
15-Dec-23,4714.23,4725.53,4704.69,4719.19,4719.19,8218980000
14-Dec-23,4721.04,4738.57,4694.34,4719.55,4719.55,6314040000
13-Dec-23,4646.2,4709.69,4643.23,4707.09,4707.09,5063650000
12-Dec-23,4618.3,4643.93,4608.09,4643.7,4643.7,3808380000
11-Dec-23,4593.39,4623.71,4593.39,4622.44,4622.44,3823210000
8-Dec-23,4576.2,4609.23,4574.06,4604.37,4604.37,3707010000
7-Dec-23,4568.84,4590.92,4565.22,4585.59,4585.59,3818880000
6-Dec-23,4586.23,4590.74,4546.5,4549.34,4549.34,4245680000
5-Dec-23,4557.25,4578.56,4551.68,4567.18,4567.18,3909950000
4-Dec-23,4564.37,4572.37,4546.72,4569.78,4569.78,4369910000
1-Dec-23,4559.43,4599.39,4554.71,4594.63,4594.63,4397120000
30-Nov-23,4554.87,4569.89,4537.24,4567.8,4567.8,5399300000
29-Nov-23,4571.84,4587.64,4547.15,4550.58,4550.58,4418760000
28-Nov-23,4545.55,4568.14,4540.51,4554.89,4554.89,3586240000
27-Nov-23,4554.86,4560.52,4546.32,4550.43,4550.43,3403990000
24-Nov-23,4555.84,4560.31,4552.8,4559.34,4559.34,1639500000
22-Nov-23,4553.04,4568.43,4545.05,4556.62,4556.62,3042810000
21-Nov-23,4538.77,4542.14,4525.51,4538.19,4538.19,3511080000
20-Nov-23,4511.7,4557.11,4510.36,4547.38,4547.38,3644790000
17-Nov-23,4509.55,4520.12,4499.66,4514.02,4514.02,3777240000
16-Nov-23,4497.08,4511.99,4487.83,4508.24,4508.24,3964520000
15-Nov-23,4505.3,4521.17,4495.31,4502.88,4502.88,4347170000
14-Nov-23,4458.97,4508.67,4458.97,4495.7,4495.7,4700350000
13-Nov-23,4406.66,4421.76,4393.82,4411.55,4411.55,3326240000
10-Nov-23,4364.15,4418.03,4353.34,4415.24,4415.24,3665080000
9-Nov-23,4391.41,4393.4,4343.94,4347.35,4347.35,3900780000
8-Nov-23,4384.37,4391.2,4359.76,4382.78,4382.78,3729510000
7-Nov-23,4366.21,4386.26,4355.41,4378.38,4378.38,3791230000
6-Nov-23,4364.27,4372.21,4347.53,4365.98,4365.98,3656340000
3-Nov-23,4334.23,4373.62,4334.23,4358.34,4358.34,4570960000
2-Nov-23,4268.26,4319.72,4268.26,4317.78,4317.78,4669780000
1-Nov-23,4201.27,4245.64,4197.74,4237.86,4237.86,4224900000
31-Oct-23,4171.33,4195.55,4153.12,4193.8,4193.8,4249470000
30-Oct-23,4139.39,4177.47,4132.94,4166.82,4166.82,3911140000
27-Oct-23,4152.93,4156.7,4103.78,4117.37,4117.37,4019500000
26-Oct-23,4175.99,4183.6,4127.9,4137.23,4137.23,4277640000
25-Oct-23,4232.42,4232.42,4181.42,4186.77,4186.77,3869370000
24-Oct-23,4235.79,4259.38,4219.43,4247.68,4247.68,3821820000
23-Oct-23,4210.4,4255.84,4189.22,4217.04,4217.04,3776100000
20-Oct-23,4273.85,4276.56,4223.03,4224.16,4224.16,4004030000
19-Oct-23,4321.36,4339.54,4269.69,4278,4278,3969730000
18-Oct-23,4357.35,4364.2,4303.84,4314.6,4314.6,3686030000
17-Oct-23,4345.23,4393.57,4337.54,4373.2,4373.2,3794850000
16-Oct-23,4342.37,4383.33,4342.37,4373.63,4373.63,3409960000
13-Oct-23,4360.49,4377.1,4311.97,4327.78,4327.78,3566560000
12-Oct-23,4380.94,4385.85,4325.43,4349.61,4349.61,3713140000
11-Oct-23,4366.59,4378.64,4345.34,4376.95,4376.95,3601660000
10-Oct-23,4339.75,4385.46,4339.64,4358.24,4358.24,3520240000
9-Oct-23,4289.02,4341.73,4283.79,4335.66,4335.66,3174630000
6-Oct-23,4234.79,4324.1,4219.55,4308.5,4308.5,3902030000
5-Oct-23,4259.31,4267.13,4225.91,4258.19,4258.19,3581470000
4-Oct-23,4233.83,4268.5,4220.48,4263.75,4263.75,3777600000
3-Oct-23,4269.75,4281.15,4216.45,4229.45,4229.45,3953830000
2-Oct-23,4284.52,4300.58,4260.21,4288.39,4288.39,3938660000
29-Sep-23,4328.18,4333.15,4274.86,4288.05,4288.05,3865960000
28-Sep-23,4269.65,4317.27,4264.38,4299.7,4299.7,3846230000
27-Sep-23,4282.63,4292.07,4238.63,4274.51,4274.51,3875880000
26-Sep-23,4312.88,4313.01,4265.98,4273.53,4273.53,3472340000
25-Sep-23,4310.62,4338.51,4302.7,4337.44,4337.44,3195650000
22-Sep-23,4341.74,4357.4,4316.49,4320.06,4320.06,3349570000
21-Sep-23,4374.36,4375.7,4329.17,4330,4330,3662340000
20-Sep-23,4452.81,4461.03,4401.38,4402.2,4402.2,3308450000
19-Sep-23,4445.41,4449.85,4416.61,4443.95,4443.95,3614880000
18-Sep-23,4445.13,4466.36,4442.11,4453.53,4453.53,3161230000
15-Sep-23,4497.98,4497.98,4447.21,4450.32,4450.32,6932230000
14-Sep-23,4487.78,4511.99,4478.69,4505.1,4505.1,3648720000
13-Sep-23,4462.65,4479.39,4453.52,4467.44,4467.44,3529430000
12-Sep-23,4473.27,4487.11,4456.83,4461.9,4461.9,3435740000
11-Sep-23,4480.98,4490.77,4467.89,4487.46,4487.46,3369920000
8-Sep-23,4451.3,4473.53,4448.38,4457.49,4457.49,3259290000
7-Sep-23,4434.55,4457.81,4430.46,4451.14,4451.14,3763760000
6-Sep-23,4490.35,4490.35,4442.38,4465.48,4465.48,3418850000
5-Sep-23,4510.06,4514.29,4496.01,4496.83,4496.83,3526250000
1-Sep-23,4530.6,4541.25,4501.35,4515.77,4515.77,3246260000
31-Aug-23,4517.01,4532.26,4507.39,4507.66,4507.66,3946360000
30-Aug-23,4500.34,4521.65,4493.59,4514.87,4514.87,3064110000
29-Aug-23,4432.75,4500.14,4431.68,4497.63,4497.63,3354820000
28-Aug-23,4426.03,4439.56,4414.98,4433.31,4433.31,2957230000
25-Aug-23,4389.38,4418.46,4356.29,4405.71,4405.71,3296180000
24-Aug-23,4455.16,4458.3,4375.55,4376.31,4376.31,3723470000
23-Aug-23,4396.44,4443.18,4396.44,4436.01,4436.01,3837270000
22-Aug-23,4415.33,4418.59,4382.77,4387.55,4387.55,3522760000
21-Aug-23,4380.28,4407.55,4360.3,4399.77,4399.77,3726850000
18-Aug-23,4344.88,4381.82,4335.31,4369.71,4369.71,3940400000
17-Aug-23,4416.32,4421.17,4364.83,4370.36,4370.36,3943700000
16-Aug-23,4433.79,4449.95,4403.55,4404.33,4404.33,3753910000
